player,player_id,full_player_name,position
A.Abdullah,32013030-2d30-3033-3231-3034b84feb82,Ameer Abdullah,RB
A.Allen,32013030-2d30-3032-3831-36336308f66a,Anthony Allen,RB
A.Allen,32013030-2d30-3032-3835-3635b6007d86,Armando Allen,RB
A.Andrews,32013030-2d30-3033-3037-3839867effd5,Antonio Andrews,RB
A.Armah,32013030-2d30-3033-3332-3936a29f674a,Alex Armah,FB
A.Armstrong,32013030-2d30-3032-3634-3635b54d1cb0,Anthony Armstrong,WR
A.Arrington,32013030-2d30-3032-3633-37372f0b8fa8,Adrian Arrington,WR
A.Auclair,32013030-2d30-3033-3334-32316f697616,Antony Auclair,TE
A.Battle,32013030-2d30-3032-3230-363437f62ea4,Arnaz Battle,WR
A.Becht,32013030-2d30-3031-3934-3537d06e129d,Anthony Becht,TE
A.Beck,32013030-2d30-3033-3439-3539fde9fa50,Andrew Beck,TE
A.Benn,32013030-2d30-3032-3736-3534e1a99468,Arrelious Benn,WR
A.Binns,32013030-2d30-3032-3834-303014dffc1c,Armon Binns,WR
A.Blake,32013030-2d30-3032-3930-3530828fa13a,Antwon Blake,DB
A.Blue,32013030-2d30-3033-3130-3735f9bae15f,Alfred Blue,RB
A.Boldin,32013030-2d30-3032-3230-38343770790e,Anquan Boldin,WR
A.Bradford,32013030-2d30-3032-3831-3235f491e956,Allen Bradford,RB
A.Bradshaw,32013030-2d30-3032-3536-33375c8435f2,Ahmad Bradshaw,RB
A.Brown,32013030-2d30-3032-3730-3934551d8d0c,Andre Brown,RB
A.Brown,32013030-2d30-3032-3731-323975915d96,Aaron Brown,RB
A.Brown,32013030-2d30-3032-3737-393324cab550,Antonio Brown,WR
A.Brown,32013030-2d30-3033-3536-3736617676fa,AJ Brown,WR
A.Burbridge,32013030-2d30-3033-3234-34313fd06baf,Aaron Burbridge,WR
A.Caldwell,32013030-2d30-3032-3632-3337d0ecaeae,Andre Caldwell,WR
A.Callaway,32013030-2d30-3033-3437-3732a8baa413,Antonio Callaway,WR
A.Carr,32013030-2d30-3033-3333-38323799c5fa,Austin Carr,WR
A.Castonzo,32013030-2d30-3032-3739-363035ad1bdc,Anthony Castonzo,OL
A.Cleveland,32013030-2d30-3033-3038-3332c579ac57,Asante Cleveland,TE
A.Collie,32013030-2d30-3032-3730-393273bb2101,Austin Collie,WR
A.Collins,32013030-2d30-3033-3234-323612f9dc9b,Alex Collins,RB
A.Cooper,32013030-2d30-3033-3135-3434ca99a9bc,Amari Cooper,WR
A.Cromartie,32013030-2d30-3032-3432-33342eb0ea7d,Antonio Cromartie,DB
A.Cross,32013030-2d30-3033-3237-343594c26640,Alan Cross,TE
A.Dalton,32013030-2d30-3032-3739-37334d29528c,Andy Dalton,QB
A.Darboh,32013030-2d30-3033-3339-33377fdb6fb4,Amara Darboh,WR
A.Davis,32013030-2d30-3032-3839-35372ad9e22c,Austin Davis,QB
A.Derby,32013030-2d30-3033-3136-30398e87fa72,AJ Derby,TE
A.Dixon,32013030-2d30-3032-3737-37326a9eb7b1,Anthony Dixon,RB
A.Dobson,32013030-2d30-3033-3035-3430833c6c6b,Aaron Dobson,WR
A.Dulin,32013030-2d30-3033-3530-32318bcae2be,Ashton Dulin,WR
A.Edwards,32013030-2d30-3032-3736-39325eed10ba,Armanti Edwards,WR
A.Ekeler,32013030-2d30-3033-3336-39396b8ab7d5,Austin Ekeler,RB
A.Ellington,32013030-2d30-3033-3032-3837e889941b,Andre Ellington,RB
A.Ellis,32013030-2d30-3033-3238-3634724912fc,Alex Ellis,TE
A.Erickson,32013030-2d30-3033-3235-3433374bea4b,Alex Erickson,WR
A.Fasano,32013030-2d30-3032-3432-3638b9992f34,Anthony Fasano,TE
A.Feeley,32013030-2d30-3032-3033-3035a2bdfac5,AJ Feeley,QB
